id,start_time,target_color,completed,proposal_sd,from_mturk,mturk_code
244,2015-05-03 20:32:56.816703+00,blue,true,50.0,true,exvy244
245,2015-05-03 20:49:22.854108+00,violet,true,50.0,true,fdyk245
246,2015-05-03 20:55:55.861891+00,purple,true,50.0,true,mykh246
247,2015-05-03 20:58:51.416502+00,purple,true,50.0,true,eour247
249,2015-05-03 21:15:03.805586+00,blue,true,50.0,true,zkkw249
248,2015-05-03 21:12:32.684126+00,purple,true,50.0,true,acru248
250,2015-05-03 21:20:13.334697+00,purple,true,50.0,true,qmzl250
251,2015-05-03 21:43:22.225113+00,blue,true,50.0,true,sfvs251
252,2015-05-03 21:46:33.672949+00,purple,true,50.0,true,lmlw252
253,2015-05-03 21:53:12.125548+00,violet,true,50.0,true,bxrw253
254,2015-05-03 22:02:08.29349+00,blue,true,50.0,true,srud254
270,2015-05-04 01:09:47.343458+00,purple,true,50.0,true,nuyo270
273,2015-05-04 02:03:23.007245+00,sky blue,true,50.0,true,dugf273
276,2015-05-04 02:14:21.816963+00,crimson,true,50.0,true,splv276
279,2015-05-04 02:20:18.756499+00,violet,true,50.0,true,clsa279
282,2015-05-04 02:31:03.267073+00,purple,true,50.0,true,akir282
285,2015-05-04 02:44:48.888408+00,violet,true,50.0,true,hlev285
255,2015-05-03 22:07:55.181753+00,sky blue,true,50.0,true,evjv255
256,2015-05-03 22:50:35.397693+00,crimson,true,50.0,true,hwuo256
257,2015-05-03 22:59:48.283037+00,crimson,true,50.0,true,zfok257
258,2015-05-03 23:20:48.758591+00,crimson,true,50.0,true,myxs258
259,2015-05-03 23:34:31.422949+00,blue,true,50.0,true,xoev259
260,2015-05-03 23:37:23.642997+00,crimson,true,50.0,true,egao260
261,2015-05-03 23:43:57.269325+00,crimson,true,50.0,true,vikr261
262,2015-05-04 00:00:21.505697+00,sky blue,true,50.0,true,ulav262
263,2015-05-04 00:04:10.808935+00,sky blue,true,50.0,true,aqpy263
264,2015-05-04 00:34:23.734571+00,blue,true,50.0,true,xasl264
265,2015-05-04 00:37:23.310798+00,violet,true,50.0,true,loqr265
266,2015-05-04 00:40:40.77219+00,crimson,true,50.0,true,gaou266
267,2015-05-04 00:47:38.862907+00,crimson,true,50.0,true,ksld267
268,2015-05-04 00:51:23.678882+00,purple,true,50.0,true,hyse268
271,2015-05-04 01:33:41.150964+00,purple,false,50.0,true,""
274,2015-05-04 02:05:48.0307+00,crimson,false,50.0,true,""
277,2015-05-04 02:15:17.519964+00,violet,true,50.0,true,lnbl277
280,2015-05-04 02:20:34.525913+00,sky blue,true,50.0,true,lxrz280
283,2015-05-04 02:36:32.792044+00,crimson,true,50.0,true,sque283
286,2015-05-04 02:55:14.723013+00,sky blue,true,50.0,true,zrej286
